,Date,confirmed_inc
1191785,2021-06-23,54069.0
1191786,2021-06-24,51667.0
1191787,2021-06-25,48698.0
1191788,2021-06-26,50040.0
1191789,2021-06-27,46148.0
1191790,2021-06-28,37566.0
1191791,2021-06-29,45951.0
1191792,2021-06-30,48786.0
1191793,2021-07-01,46617.0
1191794,2021-07-02,44111.0
1191795,2021-07-03,43071.0
1191796,2021-07-04,39796.0
1191797,2021-07-05,34703.0
1191798,2021-07-06,43733.0
1191799,2021-07-07,45892.0
1191800,2021-07-08,43393.0
1191801,2021-07-09,42766.0
1191802,2021-07-10,41506.0
1191803,2021-07-11,37154.0
1191804,2021-07-12,32906.0
1191805,2021-07-13,38865.0
1191806,2021-07-14,41733.0
1191807,2021-07-15,38949.0
1191808,2021-07-16,38079.0
1191809,2021-07-17,41157.0
1191810,2021-07-18,38164.0
1191811,2021-07-19,30093.0
1191812,2021-07-20,42015.0
1191813,2021-07-21,41383.0
1191814,2021-07-22,35342.0
1191815,2021-07-23,0.0
1191816,2021-07-24,78839.0
1191817,2021-07-25,39361.0
1191818,2021-07-26,29689.0
1191819,2021-07-27,43654.0
1191820,2021-07-28,43509.0
1191821,2021-07-29,44230.0
1191822,2021-07-30,41649.0
1191823,2021-07-31,41831.0
1191824,2021-08-01,40134.0
1191825,2021-08-02,30549.0
1191826,2021-08-03,42625.0
1191827,2021-08-04,42982.0
1191828,2021-08-05,44643.0
1191829,2021-08-06,38628.0
1191830,2021-08-07,39070.0
1191831,2021-08-08,35499.0
1191832,2021-08-09,28204.0
1191833,2021-08-10,38353.0
1191834,2021-08-11,41195.0
1191835,2021-08-12,40120.0
1191836,2021-08-13,38667.0
1191837,2021-08-14,36083.0
1191838,2021-08-15,32937.0
1191839,2021-08-16,0.0
