,Date,deaths_inc
1191579,2020-11-29,443
1191580,2020-11-30,482
1191581,2020-12-01,501
1191582,2020-12-02,526
1191583,2020-12-03,540
1191584,2020-12-04,512
1191585,2020-12-05,482
1191586,2020-12-06,391
1191587,2020-12-07,385
1191588,2020-12-08,402
1191589,2020-12-09,412
1191590,2020-12-10,413
1191591,2020-12-11,443
1191592,2020-12-12,391
1191593,2020-12-13,336
1191594,2020-12-14,354
1191595,2020-12-15,387
1191596,2020-12-16,355
1191597,2020-12-17,338
1191598,2020-12-18,347
1191599,2020-12-19,341
1191600,2020-12-20,333
1191601,2020-12-21,301
1191602,2020-12-22,333
1191603,2020-12-23,312
1191604,2020-12-24,336
1191605,2020-12-25,251
1191606,2020-12-26,279
1191607,2020-12-27,279
1191608,2020-12-28,252
1191609,2020-12-29,286
1191610,2020-12-30,299
1191611,2020-12-31,256
1191612,2021-01-01,480
1191613,2021-01-02,-39
1191614,2021-01-03,214
1191615,2021-01-04,201
1191616,2021-01-05,264
1191617,2021-01-06,222
1191618,2021-01-07,234
1191619,2021-01-08,0
1191620,2021-01-09,429
1191621,2021-01-10,161
1191622,2021-01-11,167
1191623,2021-01-12,202
1191624,2021-01-13,198
1191625,2021-01-14,191
1191626,2021-01-15,175
1191627,2021-01-16,181
1191628,2021-01-17,145
1191629,2021-01-18,137
1191630,2021-01-19,162
1191631,2021-01-20,151
1191632,2021-01-21,163
1191633,2021-01-22,152
1191634,2021-01-23,155
1191635,2021-01-24,131
1191636,2021-01-25,117
1191637,2021-01-26,137
1191638,2021-01-27,123
1191639,2021-01-28,163
1191640,2021-01-29,137
1191641,2021-01-30,127
1191642,2021-01-31,118
1191643,2021-02-01,94
1191644,2021-02-02,110
1191645,2021-02-03,107
1191646,2021-02-04,120
1191647,2021-02-05,95
1191648,2021-02-06,78
1191649,2021-02-07,84
1191650,2021-02-08,78
1191651,2021-02-09,94
1191652,2021-02-10,108
1191653,2021-02-11,87
1191654,2021-02-12,103
1191655,2021-02-13,92
1191656,2021-02-14,90
1191657,2021-02-15,81
1191658,2021-02-16,100
1191659,2021-02-17,101
1191660,2021-02-18,97
1191661,2021-02-19,101
1191662,2021-02-20,90
1191663,2021-02-21,83
1191664,2021-02-22,78
1191665,2021-02-23,104
1191666,2021-02-24,138
1191667,2021-02-25,120
1191668,2021-02-26,113
1191669,2021-02-27,113
1191670,2021-02-28,106
1191671,2021-03-01,91
1191672,2021-03-02,98
1191673,2021-03-03,89
1191674,2021-03-04,113
1191675,2021-03-05,108
1191676,2021-03-06,100
1191677,2021-03-07,97
1191678,2021-03-08,77
1191679,2021-03-09,133
1191680,2021-03-10,126
1191681,2021-03-11,117
1191682,2021-03-12,140
1191683,2021-03-13,161
1191684,2021-03-14,118
1191685,2021-03-15,131
1191686,2021-03-16,188
1191687,2021-03-17,172
1191688,2021-03-18,154
1191689,2021-03-19,188
1191690,2021-03-20,197
1191691,2021-03-21,212
1191692,2021-03-22,199
1191693,2021-03-23,275
1191694,2021-03-24,251
1191695,2021-03-25,257
1191696,2021-03-26,291
1191697,2021-03-27,312
1191698,2021-03-28,291
1191699,2021-03-29,271
1191700,2021-03-30,354
1191701,2021-03-31,459
1191702,2021-04-01,469
1191703,2021-04-02,714
1191704,2021-04-03,513
1191705,2021-04-04,478
1191706,2021-04-05,446
1191707,2021-04-06,630
1191708,2021-04-07,685
1191709,2021-04-08,780
1191710,2021-04-09,794
1191711,2021-04-10,839
1191712,2021-04-11,904
1191713,2021-04-12,879
1191714,2021-04-13,1027
1191715,2021-04-14,1038
1191716,2021-04-15,1185
1191717,2021-04-16,1341
1191718,2021-04-17,1501
1191719,2021-04-18,1619
1191720,2021-04-19,1761
1191721,2021-04-20,2023
1191722,2021-04-21,2104
1191723,2021-04-22,2263
1191724,2021-04-23,2624
1191725,2021-04-24,2767
1191726,2021-04-25,2812
1191727,2021-04-26,2771
1191728,2021-04-27,3293
1191729,2021-04-28,3645
1191730,2021-04-29,3498
1191731,2021-04-30,3523
1191732,2021-05-01,3689
1191733,2021-05-02,3417
1191734,2021-05-03,3449
1191735,2021-05-04,3780
1191736,2021-05-05,3980
1191737,2021-05-06,3915
1191738,2021-05-07,4187
1191739,2021-05-08,4077
1191740,2021-05-09,3769
1191741,2021-05-10,3876
1191742,2021-05-11,4205
1191743,2021-05-12,4120
1191744,2021-05-13,4000
1191745,2021-05-14,3890
1191746,2021-05-15,4077
1191747,2021-05-16,4106
1191748,2021-05-17,4329
1191749,2021-05-18,4529
1191750,2021-05-19,3874
1191751,2021-05-20,4209
1191752,2021-05-21,4194
1191753,2021-05-22,3741
1191754,2021-05-23,4454
1191755,2021-05-24,3511
1191756,2021-05-25,4157
1191757,2021-05-26,3847
1191758,2021-05-27,3660
1191759,2021-05-28,3617
1191760,2021-05-29,3460
1191761,2021-05-30,3128
1191762,2021-05-31,2795
1191763,2021-06-01,3207
1191764,2021-06-02,2887
1191765,2021-06-03,2713
1191766,2021-06-04,3380
